DUID,Site Name,Region,Technology Type,Dispatch Type,Unit Capacity (MW AC),Commitment Status,Full Commercial Use Date,Closure Date,Closure Year
EILDON3,Eildon Pondage Power Station (EPPS),VIC1,Hydro,Non-scheduled,4.5,In Service,,,
ELAINWF1,Elaine Wind Farm,VIC1,Wind,Semi-scheduled,3.8,In Service,,,
EMERASF1,Emerald Solar Park,QLD1,Solar PV,Semi-scheduled,2.25,In Service,,,
ERB01,Eraring Big Battery,NSW1,Battery Storage,Scheduled,460.0,In Service,2025.0,,
ERGT01,Eraring GT,NSW1,Gas Turbine,Non-scheduled,41.5,In Service,,,
FNWF1,Ferguson Wind Farm,VIC1,Wind,Non-scheduled,4.0,In Service,,,
FINLYSF1,Finley Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
FISHER,Fisher,TAS1,Hydro,Scheduled,43.2,In Service,,,
FLYCRKWF,Flyers Creek Wind Farm,NSW1,Wind,Semi-scheduled,3.83,In Service,,,
GANGARR1,Gangarri Solar Farm,QLD1,Solar PV,Semi-scheduled,3.0,In Commissioning,2026.0,,
GANNB1,Gannawarra Energy Storage System,VIC1,Battery Storage,Scheduled,0.51,In Service,,,
GANNSF1,Gannawarra Solar Farm,VIC1,Solar PV,Semi-scheduled,2.5,In Service,,,
GERMCRK,German Creek,QLD1,Gas Turbine,Non-scheduled,1.99,In Service,,,
GIRGSF,Girgarre Solar Farm,VIC1,Solar PV,Semi-scheduled,1.64,In Service,2025.0,,
GLBWNHYD,Glenbawn,NSW1,Hydro,Non-scheduled,5.0,In Service,,,
GLENMAG1,Glenmaggie Hydro,VIC1,Hydro,Non-scheduled,1.9,In Service,,,
GLENSF1,Glenrowan Solar Farm,VIC1,Solar PV,Semi-scheduled,4.2,In Service,,,
GLRWNSF1,Glenrowan West Solar Farm,VIC1,Solar PV,Semi-scheduled,2.75,In Service,,,
GPWFEST1,Golden Plains Wind Farm East,VIC1,Wind,Semi-scheduled,6.2,In Commissioning,2025.0,,
GPWFEST2,Golden Plains Wind Farm East,VIC1,Wind,Semi-scheduled,6.2,In Commissioning,2025.0,,
GPWFEST3,Golden Plains Wind Farm East,VIC1,Wind,Semi-scheduled,6.2,In Commissioning,2025.0,,
GOONSF1,Goonumbla Solar Farm,NSW1,Solar PV,Semi-scheduled,2.25,In Service,,,
GORDON,Gordon,TAS1,Hydro,Scheduled,144.0,In Service,,,
GSWF1A,Goyder South Wind Farm 1A,SA1,Wind,Semi-scheduled,5.5,In Service,,,
GSWF1B1,Goyder South Wind Farm 1B,SA1,Wind,Semi-scheduled,5.5,In Service,2025.0,,
GRANGEAV,Grange Avenue,NSW1,Other,Non-scheduled,1.26,In Service,,,
GRANWF1,Granville Harbour Wind Farm,TAS1,Wind,Semi-scheduled,3.6,In Service,,,
GREENB1,Greenbank BESS,QLD1,Battery Storage,Scheduled,200.0,In Service,,,
GRIFSF1,Griffith Solar Farm,NSW1,Solar PV,Non-scheduled,2.27,In Service,,,
GULLRSF1,Gullen Range Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
GULLRWF1,Gullen Range Wind Farm,NSW1,Wind,Semi-scheduled,1.5,In Service,,,
GULLRWF2,Gullen Range Wind Farm 2,NSW1,Wind,Semi-scheduled,3.57,In Service,,,
GNNDHSF1,Gunnedah Solar Farm,NSW1,Solar PV,Semi-scheduled,1.44,In Service,,,
GUNNING1,Gunning Wind Farm,NSW1,Wind,Semi-scheduled,1.5,In Service,,,
GUTHEGA,Guthega,NSW1,Hydro,Scheduled,30.0,In Service,,,
HALAMRD1,Hallam Road,VIC1,Gas Turbine,Non-scheduled,1.12,In Service,,,
NBHWF1,Hallett 4 North Brown Hill,SA1,Wind,Semi-scheduled,2.1,In Service,,,
BLUFF1,Hallett 5 The Bluff WF,SA1,Wind,Semi-scheduled,2.1,In Service,,,
AGLHAL,Hallett Power Station,SA1,Gas Turbine,Scheduled,18.9,In Service,,,
HALLWF1,Hallett Stage 1 Brown Hill,SA1,Wind,Semi-scheduled,2.1,In Service,,,
HALLWF2,Hallett Stage 2 Hallett Hill,SA1,Wind,Semi-scheduled,2.1,In Service,,,
HAMISF1,Hamilton Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
HVWWPV1,Happy Valley Reservoir,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
HVWWBA1,Happy Valley Reservoir,SA1,Battery Storage,Scheduled,5.52,In Service,,,
HAUGHT11,Haughton Solar Farm Stage 1,QLD1,Solar PV,Semi-scheduled,1.64,In Service,,,
HD1WF1,Hawkesdale Wind Farm,VIC1,Wind,Semi-scheduled,4.2,In Service,,,
HAYMSF1,Hayman Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
HBESS1,Hazelwood Battery Energy Storage System (HBESS),VIC1,Battery Storage,Scheduled,200.07,In Service,,,
HILLSTN1,Hillston Sun Farm,NSW1,Solar PV,Semi-scheduled,2.75,In Service,,,
HPR1,Hornsdale Power Reserve Unit 1,SA1,Battery Storage,Scheduled,50.0,In Service,,,
HDWF1,Hornsdale Wind Farm Stage 1,SA1,Wind,Semi-scheduled,3.2,In Service,,,
HDWF2,Hornsdale Wind Farm Stage 2,SA1,Wind,Semi-scheduled,3.2,In Service,,,
HDWF3,Hornsdale Wind Farm Stage 3,SA1,Wind,Semi-scheduled,3.2,In Service,,,
HUGSF1,Hughenden Sun Farm,QLD1,Solar PV,Significant Non-scheduled,1.17,In Service,,,
HUMENSW,Hume Dam NSW,NSW1,Hydro,Scheduled,29.0,In Service,,,
HUMEV,Hume Dam VIC,VIC1,Hydro,Scheduled,29.0,In Service,,,
HEZ1,Hunter EconomicZone,NSW1,Gas Turbine,Scheduled,1.29,In Service,,,
HUNTER1,Hunter Power Station,NSW1,Gas Turbine,Scheduled,375.0,In Commissioning,2026.0,,
HUNTER2,Hunter Power Station,NSW1,Gas Turbine,Scheduled,375.0,In Commissioning,2026.0,,
HLMSEW01,HYMIVC06 Belgrave-Hallam Rd Micro Hydro,VIC1,Hydro,Non-scheduled,0.25,In Service,,,
ICSM,ISIS Central Sugar Mill Co-generation Plant,QLD1,Gas Turbine,Non-scheduled,25.0,In Service,,,
JGULLY,Jacks Gully,NSW1,Other,Non-scheduled,1.15,In Service,,,
JLA01,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLA02,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLA03,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLA04,Jeeralang A,VIC1,Gas Turbine,Scheduled,53.0,In Service,,,
JLB01,Jeeralang B Power Station,VIC1,Gas Turbine,Scheduled,76.0,In Service,,,
JLB02,Jeeralang B Power Station,VIC1,Gas Turbine,Scheduled,76.0,In Service,,,
JLB03,Jeeralang B Power Station,VIC1,Gas Turbine,Scheduled,76.0,In Service,,,
JEMALNG1,Jemalong Solar,NSW1,Solar PV,Semi-scheduled,2.75,In Service,,,
JNDABNE1,Jindabyne,NSW1,Hydro,Non-scheduled,1.1,In Service,,,
JBUTTERS,John Butters,TAS1,Hydro,Scheduled,144.0,In Service,,,
JOUNAMA1,Jounama,NSW1,Hydro,Non-scheduled,14.4,In Service,,,
JUNEESF1,Junee Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
KABANWF1,Kaban Wind Farm,QLD1,Wind,Semi-scheduled,5.6,In Service,,,
KARSF1,Karadoc Solar Farm,VIC1,Solar PV,Semi-scheduled,2.75,In Service,,,
KAREEYA1,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA2,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA3,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA4,Kareeya,QLD1,Hydro,Scheduled,21.6,In Service,,,
KAREEYA5,Kareeya 5,QLD1,Hydro,Non-scheduled,7.0,In Service,,,
KEEPIT,Keepit,NSW1,Hydro,Non-scheduled,7.2,In Service,,,
KEPSF1,Kennedy Energy Park - Phase 1 - Solar,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
KEPBG1,Kennedy Energy Park - Phase 1 - Storage,QLD1,Battery Storage,Non-scheduled,0.5,In Service,,,
KEPWF1,Kennedy Energy Park - Phase 1 - Wind,QLD1,Wind,Semi-scheduled,3.6,In Service,,,
KERNGSP1,Kerang Solar Plant,VIC1,Solar PV,Semi-scheduled,3.33,In Service,2025.0,,
KIAMSF1,Kiamal Solar Farm - Stage 1,VIC1,Solar PV,Semi-scheduled,1.33,In Service,2026.0,,
KiataWF1,Kiata Wind Farm,VIC1,Wind,Semi-scheduled,3.45,In Service,,,
KSP1,Kidston Solar Project Phase One,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
KINGASF1,Kingaroy Solar Farm,QLD1,Solar PV,Semi-scheduled,4.44,In Service,2025.0,,
KPP_1,Kogan Creek,QLD1,Coal,Scheduled,744.0,In Service,,,
KESSB1,Koorangie Energy Storage System,VIC1,Battery Storage,Scheduled,185.0,In Service,2025.0,,
LADBROK1,Ladbroke Grove,SA1,Gas Turbine,Scheduled,40.0,In Service,,,
LADBROK2,Ladbroke Grove,SA1,Gas Turbine,Scheduled,40.0,In Service,,,
LKBONNY1,Lake Bonney 1 Wind Farm,SA1,Wind,Significant Non-scheduled,1.75,In Service,,,
LKBONNY2,Lake Bonney 2 Wind Farm,SA1,Wind,Semi-scheduled,3.0,In Service,,,
LKBONNY3,Lake Bonney 3 Wind Farm,SA1,Wind,Semi-scheduled,3.0,In Service,,,
LBB1,Lake Bonney Battery Energy Storage,SA1,Battery Storage,Scheduled,0.6,In Service,,,
LK_ECHO,Lake Echo,TAS1,Hydro,Scheduled,32.4,In Service,,,
LVES1,LaTrobe Valley BESS,VIC1,Battery Storage,Scheduled,0.89,In Service,,,
LNGS1,Laverton North,VIC1,Gas Turbine,Scheduled,156.0,In Service,,,
LNGS2,Laverton North,VIC1,Gas Turbine,Scheduled,156.0,In Service,,,
LEM_WIL,Lemonthyme / Wilmot,TAS1,Hydro,Scheduled,51.0,In Service,,,
HEPWIND1,Leonards Hill,VIC1,Wind,Non-scheduled,2.05,In Service,,,
LILYSF1,Lilyvale Solar Farm,QLD1,Solar PV,Semi-scheduled,1.6,In Service,,,
LIMOSF11,Limondale Solar Farm 1,NSW1,Solar PV,Semi-scheduled,2.3,In Service,,,
LIMOSF21,Limondale Solar Farm 2,NSW1,Solar PV,Semi-scheduled,2.07,In Service,,,
LGAPWF1,Lincoln Gap Wind Farm - stage 1,SA1,Wind,Semi-scheduled,3.6,In Service,,,
LGAPWF2,Lincoln Gap Wind Farm - Stage 2,SA1,Wind,Semi-scheduled,3.6,In Service,,,
LRSF1,Longreach Solar Farm,QLD1,Solar PV,Significant Non-scheduled,2.14,In Service,,,
LONSDALE,Lonsdale,SA1,Gas Turbine,Scheduled,1.12,In Service,,,
LYA1,Loy Yang A Power Station,VIC1,Coal,Scheduled,560.0,In Service,,,
LYA2,Loy Yang A Power Station,VIC1,Coal,Scheduled,530.0,In Service,,,
LYA3,Loy Yang A Power Station,VIC1,Coal,Scheduled,560.0,In Service,,,
LYA4,Loy Yang A Power Station,VIC1,Coal,Scheduled,560.0,In Service,,,
LOYYB1,Loy Yang B,VIC1,Coal,Scheduled,580.0,In Service,,,
LOYYB2,Loy Yang B,VIC1,Coal,Scheduled,580.0,In Service,,,
LUCASHGT,Lucas Heights 2,NSW1,Other,Non-scheduled,1.15,In Service,,,
LUCAS2S2,Lucas Heights 2,NSW1,Other,Non-scheduled,1.15,In Service,,,
MACARTH1,Macarthur Wind Farm,VIC1,Wind,Semi-scheduled,3.0,In Service,,,
MCINTYR1,MacIntyre Wind Farm,QLD1,Wind,Semi-scheduled,5.7,In Commissioning,2025.0,,
MACKNTSH,Mackintosh,TAS1,Hydro,Scheduled,79.9,In Service,,,
MANSLR1,Manildra Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
MAPS2PV1,Mannum Adelaide Pumping Station No 2 - MAPL2 (Palmer),SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MAPS3PV1,Mannum Adelaide Pumping Station No 3 - MAPL3 (Tungkillo),SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MANNUMB1,Mannum BESS,SA1,Battery Storage,Scheduled,100.0,In Service,2026.0,,
MANNSF2,Mannum Solar Farm 2,SA1,Solar PV,Semi-scheduled,2.73,In Commissioning,2024.0,,
MAROOWF1,Maroona Wind Farm,VIC1,Wind,Non-scheduled,3.45,In Service,,,
MARYRSF1,Maryrorough Solar Farm,QLD1,Solar PV,Semi-scheduled,34.5,In Service,,,
MEADOWBK,Meadowbank,TAS1,Hydro,Scheduled,40.0,In Service,,,
MREHA1,Melbourne Renewable Energy Hub Connection A1,VIC1,Battery Storage,Scheduled,1.93,In Service,,,
MREHA2,Melbourne Renewable Energy Hub Connection A2,VIC1,Battery Storage,Scheduled,1.93,In Service,,,
MREHA3,Melbourne Renewable Energy Hub Connection A3,VIC1,Battery Storage,Scheduled,0.98,In Service,,,
METZSF1,Metz Solar Farm,NSW1,Solar PV,Semi-scheduled,2.5,In Service,,,
MIDDLSF1,Middlemount Solar Farm,QLD1,Solar PV,Semi-scheduled,2.5,In Service,,,
MPP_1,Millmerran Power Plant,QLD1,Coal,Scheduled,426.0,In Service,,,
MPP_2,Millmerran Power Plant,QLD1,Coal,Scheduled,426.0,In Service,,,
MINTARO,Mintaro GT,SA1,Gas Turbine,Scheduled,90.0,In Service,,,
MOKOSF1,Mokoan Solar Farm,VIC1,Solar PV,Semi-scheduled,46.0,In Service,2025.0,,
MOLNGSF1,Molong Solar Farm,NSW1,Solar PV,Semi-scheduled,1.64,In Service,,,
MOORAWF1,Moorabool Wind Farm,VIC1,Wind,Semi-scheduled,3.0,In Service,,,
MBAHNTH,Moranbah North,QLD1,Other,Non-scheduled,3.04,In Service,,,
MOREESF1,Moree Solar Farm,NSW1,Solar PV,Semi-scheduled,1.0,In Service,,,
MWPS1PV1,Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MWPS2PV1,Morgan To Whyalla Pipeline No 2 PS,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MWPS3PV1,Morgan To Whyalla Pipeline No 3 PS,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MWPS4PV1,Morgan To Whyalla Pipeline No 4 PS,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MORTLK11,Mortlake,VIC1,Gas Turbine,Scheduled,292.0,In Service,,,
MORTLK12,Mortlake,VIC1,Gas Turbine,Scheduled,292.0,In Service,,,
MRTLSWF1,Mortlake South Wind Farm,VIC1,Wind,Semi-scheduled,4.5,In Service,,,
MLWF1,Mortons Lane Wind Farm,VIC1,Wind,Significant Non-scheduled,1.5,In Service,,,
MEWF1,Mount Emerald,QLD1,Wind,Semi-scheduled,3.41,In Service,,,
MOUSF1,Moura Solar Farm,QLD1,Solar PV,Semi-scheduled,2.75,In Service,,,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,Wind,Semi-scheduled,3.15,In Service,,,
MERCER01,Mt Mercer Wind Farm,VIC1,Wind,Semi-scheduled,2.05,In Service,,,
MTMILLAR,Mt Millar Wind Farm,SA1,Wind,Significant Non-scheduled,2.07,In Service,,,
MP1,Mt Piper,NSW1,Coal,Scheduled,730.0,In Service,,,
MP2,Mt Piper,NSW1,Coal,Scheduled,700.0,In Service,2027.0,,
MSTUART1,Mt Stuart,QLD1,Gas Turbine,Scheduled,146.0,In Service,,,
MSTUART2,Mt Stuart,QLD1,Gas Turbine,Scheduled,146.0,In Service,,,
MSTUART3,Mt Stuart,QLD1,Gas Turbine,Scheduled,131.5,In Service,,,
MUWAWF1,Murra Warra Wind Farm - stage 1,VIC1,Wind,Semi-scheduled,3.7,In Service,,,
MUWAWF2,Murra Warra Wind Farm - stage 2,VIC1,Wind,Semi-scheduled,5.5,In Service,,,
MURRAY,Murray 1,VIC1,Hydro,Scheduled,95.0,In Service,,,
MBPS2PV1,Murray Bridge - Onkaparinga Pipeline Pump 2,SA1,Solar PV,Semi-scheduled,2.75,In Service,,,
MUSSELR1,Musselroe Wind Farm,TAS1,Wind,Semi-scheduled,3.0,In Service,,,
NASF1,Narromine Solar Farm,NSW1,Solar PV,Non-scheduled,2.3,In Service,,,
NEVERSF1,Nevertire Solar Farm,NSW1,Solar PV,Semi-scheduled,2.18,In Service,,,
NEWENSF1,New England Solar Farm,NSW1,Solar PV,Semi-scheduled,200.0,In Service,,,
NEWENSF2,New England Solar Farm,NSW1,Solar PV,Semi-scheduled,200.0,In Service,,,
NPS,Newport,VIC1,Gas Turbine,Scheduled,500.0,In Service,,,
NUMURSF1,Numurkah Solar Farm,VIC1,Solar PV,Semi-scheduled,1.81,In Service,,,
NYNGAN1,Nyngan Solar Plant,NSW1,Solar PV,Semi-scheduled,1.33,In Service,,,
OAKEY2SF,Oakey 2 Solar Farm,QLD1,Solar PV,Semi-scheduled,2.14,In Service,,,
OAKEY1,Oakey Power Station,QLD1,Gas Turbine,Scheduled,173.0,In Service,,,
OAKEY2,Oakey Power Station,QLD1,Gas Turbine,Scheduled,173.0,In Service,,,
OAKEY1SF,Oakey Solar Farm,QLD1,Solar PV,Semi-scheduled,25.0,In Service,,,
OAKLAND1,Oaklands Hill Wind Farm,VIC1,Wind,Semi-scheduled,2.1,In Service,,,
OAKY2,Oaky Creek 2,QLD1,Other,Non-scheduled,3.0,In Service,,,
PALOONA,Paloona,TAS1,Hydro,Non-scheduled,28.0,In Service,,,
PARSF1,Parkes Solar Farm,NSW1,Solar PV,Semi-scheduled,2.25,In Service,,,
PPCCGT,Pelican Point,SA1,Gas Turbine,Scheduled,179.0,In Service,,,
PIBESS1,Philip Island BESS,VIC1,Battery Storage,Scheduled,5.0,In Service,,,
PINDARI,Pindari,NSW1,Hydro,Non-scheduled,5.77,In Service,,,
POAT110,Poatina,TAS1,Hydro,Scheduled,50.0,In Service,,,
POAT220,Poatina,TAS1,Hydro,Scheduled,50.0,In Service,,,
